Task_ID,Task_Type,Task_Complexity,Start_Date_Task,Due_Date_Task,Assigned_Employee_ID,Estimated_Hours,Actual_Hours,Status_Task
392,Project Planning,Easy,02-07-2024,31-07-2024,72,25,21,In Progress
393,Status Reporting,Easy,23-11-2023,08-12-2023,72,24,20,Completed
394,Status Reporting,Easy,08-07-2023,03-08-2023,72,6,0,On Hold
395,Status Reporting,Easy,02-12-2023,23-12-2023,72,26,5,In Progress
396,Project Planning,Easy,28-11-2024,13-12-2024,72,12,0,Not Started
397,Project Planning,Easy,01-10-2023,14-10-2023,72,24,40,Completed
398,Status Reporting,Easy,23-07-2024,14-08-2024,73,35,7,Completed
399,Status Reporting,Easy,02-03-2024,28-03-2024,73,21,33,Completed
400,Status Reporting,Easy,30-10-2023,27-11-2023,73,6,12,Completed
401,Project Planning,Easy,30-10-2023,09-11-2023,73,8,0,On Hold
402,Status Reporting,Easy,24-11-2024,09-12-2024,73,19,29,Completed
403,Status Reporting,Easy,30-10-2023,28-11-2023,73,28,0,Not Started
404,Status Reporting,Easy,07-09-2024,05-10-2024,74,6,0,Not Started
405,Project Planning,Easy,17-12-2024,15-01-2025,74,10,0,Not Started
406,Data Analysis,Easy,06-11-2024,19-11-2024,75,6,0,Not Started
407,Data Analysis,Easy,04-01-2024,25-01-2024,76,15,21,In Progress
408,Process Improvement,Easy,13-03-2025,31-03-2025,76,40,0,Not Started
409,Data Analysis,Easy,03-11-2023,19-11-2023,76,20,27,In Progress
410,Data Analysis,Easy,26-11-2023,03-12-2023,76,28,0,On Hold
411,Data Analysis,Easy,24-01-2024,19-02-2024,76,12,16,In Progress
412,Data Analysis,Easy,07-01-2025,19-01-2025,77,24,0,Not Started
413,Process Improvement,Easy,03-04-2023,24-04-2023,77,12,40,In Progress
414,Process Improvement,Easy,16-08-2024,04-09-2024,77,31,0,On Hold
415,Data Analysis,Easy,18-07-2024,15-08-2024,77,10,30,Completed
416,Data Analysis,Easy,08-11-2024,01-12-2024,77,25,0,Not Started
417,Data Analysis,Easy,29-09-2023,22-10-2023,78,16,0,Not Started
418,Process Improvement,Easy,29-02-2024,16-03-2024,78,25,35,In Progress
419,Data Analysis,Easy,02-09-2024,27-09-2024,78,10,0,On Hold
420,Process Improvement,Easy,17-10-2023,13-11-2023,78,12,17,Completed
421,Process Improvement,Easy,08-03-2025,17-03-2025,78,39,22,Completed
422,Process Improvement,Easy,20-08-2023,06-09-2023,79,38,20,In Progress
423,Process Improvement,Easy,18-09-2023,12-10-2023,79,16,38,Completed
424,Data Analysis,Easy,03-10-2024,20-10-2024,79,16,33,Completed
425,Data Analysis,Easy,11-10-2023,31-10-2023,79,24,0,On Hold
426,Data Analysis,Easy,04-12-2024,22-12-2024,79,39,0,On Hold
427,Data Analysis,Easy,20-08-2023,15-09-2023,79,37,36,In Progress
428,Process Improvement,Easy,07-06-2024,29-06-2024,79,25,40,In Progress
429,Data Analysis,Easy,20-08-2023,05-09-2023,79,14,0,On Hold
430,Process Improvement,Easy,20-12-2024,14-01-2025,80,14,0,Not Started
431,Data Analysis,Easy,24-01-2024,03-02-2024,80,5,0,Not Started
432,Process Improvement,Easy,28-02-2023,29-03-2023,80,40,0,Not Started
433,Process Improvement,Easy,19-01-2025,16-02-2025,80,28,21,In Progress
434,Data Analysis,Easy,10-01-2023,04-02-2023,80,32,0,Not Started
435,Data Analysis,Easy,21-02-2025,19-03-2025,80,20,0,On Hold
436,Data Analysis,Easy,04-05-2024,12-05-2024,80,5,0,Not Started
437,Data Analysis,Easy,11-04-2024,29-04-2024,80,7,20,In Progress
438,Data Analysis,Easy,20-03-2024,14-04-2024,80,25,0,On Hold
439,Project Management,Easy,16-09-2024,08-10-2024,81,29,12,Completed
440,Project Management,Easy,06-06-2024,30-06-2024,81,25,8,In Progress
441,Process Improvement,Easy,01-08-2024,31-08-2024,81,16,21,Completed
442,Process Improvement,Easy,20-08-2023,18-09-2023,81,34,0,On Hold
443,Project Management,Easy,17-08-2023,11-09-2023,81,39,37,In Progress
444,Project Management,Easy,01-04-2024,17-04-2024,81,34,0,On Hold
445,Project Management,Easy,17-08-2023,29-08-2023,81,13,0,Not Started
446,Process Improvement,Easy,13-05-2024,12-06-2024,81,27,0,Not Started
447,Project Management,Easy,19-09-2024,01-10-2024,82,24,15,In Progress
448,Project Management,Easy,31-03-2023,11-04-2023,82,25,3,In Progress
449,Process Improvement,Easy,27-09-2023,24-10-2023,82,21,0,On Hold
450,Project Management,Easy,11-10-2024,29-10-2024,82,23,0,On Hold
451,Project Management,Easy,16-09-2023,08-10-2023,82,31,5,In Progress
452,Project Management,Easy,07-05-2023,20-05-2023,82,28,0,On Hold
453,Process Improvement,Easy,09-03-2024,20-03-2024,82,8,36,Completed
454,Process Improvement,Easy,18-08-2024,06-09-2024,82,6,39,Completed
455,Process Improvement,Easy,10-07-2024,01-08-2024,82,39,25,Completed
456,Project Management,Easy,25-09-2023,13-10-2023,83,10,39,In Progress
457,Process Improvement,Easy,01-05-2023,24-05-2023,83,30,23,In Progress
458,Process Improvement,Easy,17-09-2023,25-09-2023,83,21,8,Completed
459,Project Management,Easy,03-05-2024,23-05-2024,83,10,0,Not Started
460,Project Management,Easy,18-08-2023,29-08-2023,83,38,24,Completed
461,Project Management,Easy,15-07-2024,03-08-2024,84,17,20,In Progress
462,Project Management,Easy,27-06-2023,09-07-2023,84,5,13,In Progress
463,Process Improvement,Easy,03-05-2024,01-06-2024,84,39,0,On Hold
464,Project Management,Easy,26-12-2023,04-01-2024,84,11,38,In Progress
465,Process Improvement,Easy,02-12-2023,19-12-2023,84,36,0,Not Started
466,Process Improvement,Easy,04-07-2024,23-07-2024,84,7,0,Not Started
467,Project Management,Easy,04-01-2023,14-01-2023,84,23,0,On Hold
468,Process Improvement,Easy,06-04-2024,23-04-2024,84,19,23,In Progress
469,Project Management,Easy,14-11-2024,05-12-2024,84,21,0,On Hold
470,Project Management,Easy,21-01-2025,10-02-2025,84,28,0,On Hold
471,Reporting,Easy,15-01-2024,25-01-2024,85,9,30,Completed
472,Financial Analysis,Easy,22-02-2023,03-03-2023,85,27,6,Completed
473,Financial Analysis,Easy,04-03-2023,17-03-2023,85,23,0,Not Started
474,Reporting,Easy,18-03-2024,08-04-2024,85,38,40,In Progress
475,Financial Analysis,Easy,03-06-2024,19-06-2024,85,20,0,On Hold
476,Financial Analysis,Easy,03-08-2024,12-08-2024,85,35,20,In Progress
477,Financial Analysis,Easy,20-07-2024,18-08-2024,86,13,16,In Progress
478,Financial Analysis,Easy,03-11-2023,20-11-2023,86,36,5,Completed
479,Financial Analysis,Easy,06-02-2024,15-02-2024,86,31,0,On Hold
480,Financial Analysis,Easy,02-10-2024,20-10-2024,86,7,0,Not Started
481,Reporting,Easy,05-06-2024,02-07-2024,87,33,9,In Progress
482,Reporting,Easy,07-10-2024,01-11-2024,87,10,32,In Progress
483,Reporting,Easy,24-01-2025,22-02-2025,87,13,0,On Hold
484,Financial Analysis,Easy,03-11-2023,11-11-2023,87,35,0,On Hold
485,Reporting,Easy,24-02-2025,21-03-2025,87,21,0,Not Started
486,Reporting,Easy,03-11-2023,26-11-2023,87,35,24,Completed
487,Reporting,Easy,03-11-2023,30-11-2023,87,5,0,Not Started
488,Reporting,Easy,27-07-2024,25-08-2024,87,7,38,Completed
489,Financial Analysis,Easy,03-11-2023,22-11-2023,88,16,33,Completed
490,Reporting,Easy,27-09-2024,11-10-2024,88,19,0,Not Started
491,Reporting,Easy,27-08-2024,13-09-2024,88,8,26,In Progress
492,Reporting,Easy,13-04-2024,05-05-2024,88,7,0,Not Started
493,Financial Analysis,Easy,03-11-2023,22-11-2023,88,11,11,Completed
494,Reporting,Easy,03-11-2023,15-11-2023,88,33,0,On Hold
495,Financial Analysis,Easy,20-05-2024,14-06-2024,88,9,0,Not Started
496,Financial Analysis,Easy,14-05-2023,02-06-2023,89,14,23,Completed
497,Financial Analysis,Easy,19-01-2025,29-01-2025,89,36,26,Completed
498,Financial Analysis,Easy,08-01-2025,06-02-2025,89,17,0,On Hold
499,Reporting,Easy,25-06-2023,24-07-2023,89,30,18,In Progress
500,Reporting,Easy,18-05-2024,13-06-2024,89,23,0,On Hold
501,Reporting,Easy,15-07-2023,11-08-2023,89,11,22,In Progress
502,Account Reconciliation,Easy,20-09-2024,16-10-2024,90,19,0,On Hold
503,Account Reconciliation,Easy,12-10-2023,01-11-2023,90,29,0,On Hold
504,Account Reconciliation,Easy,14-02-2023,02-03-2023,91,25,39,In Progress
505,Financial Reporting,Easy,10-11-2023,02-12-2023,91,13,27,Completed
506,Financial Reporting,Easy,03-08-2024,31-08-2024,91,30,31,Completed
507,Financial Reporting,Easy,05-02-2025,01-03-2025,91,19,23,In Progress
508,Account Reconciliation,Easy,18-01-2025,09-02-2025,91,38,0,On Hold
509,Account Reconciliation,Easy,14-02-2024,26-02-2024,92,15,0,On Hold
510,Account Reconciliation,Easy,18-08-2024,12-09-2024,92,34,10,Completed
511,Account Reconciliation,Easy,14-10-2023,27-10-2023,92,16,34,In Progress
512,Account Reconciliation,Easy,21-07-2024,02-08-2024,92,38,40,In Progress
513,Account Reconciliation,Easy,08-07-2023,17-07-2023,92,16,0,On Hold
514,Financial Reporting,Easy,24-05-2023,21-06-2023,92,32,0,Not Started
515,Financial Reporting,Easy,26-12-2024,09-01-2025,92,25,17,Completed
516,Account Reconciliation,Easy,29-02-2024,16-03-2024,92,20,39,In Progress
517,Account Reconciliation,Easy,06-11-2024,23-11-2024,92,39,5,In Progress
518,Financial Reporting,Easy,05-09-2024,18-09-2024,92,18,0,Not Started
519,Training,Medium,03-11-2023,01-12-2023,93,17,24,Completed
520,Recruitment,Medium,26-12-2023,04-01-2024,93,40,0,Not Started
521,Recruitment,Medium,03-09-2024,14-09-2024,93,37,0,On Hold
522,Recruitment,Medium,10-10-2024,01-11-2024,94,36,0,On Hold
523,Training,Medium,29-03-2023,11-04-2023,94,29,32,In Progress
524,Training,Medium,06-10-2023,29-10-2023,94,16,0,Not Started
525,Recruitment,Medium,16-04-2023,04-05-2023,94,30,0,Not Started
526,Recruitment,Medium,05-03-2025,23-03-2025,94,37,19,Completed
527,Recruitment,Medium,18-03-2025,31-03-2025,94,25,0,On Hold
528,Recruitment,Medium,14-05-2024,27-05-2024,94,36,0,Not Started
529,Training,Medium,12-03-2025,01-04-2025,94,15,0,On Hold
530,Training,Medium,29-01-2025,24-02-2025,95,22,3,Completed
531,Training,Medium,03-11-2023,30-11-2023,96,26,34,Completed
532,Recruitment,Medium,09-01-2025,01-02-2025,96,28,0,Not Started
533,Recruitment,Medium,16-07-2023,10-08-2023,96,28,33,In Progress
534,Recruitment,Medium,30-12-2024,20-01-2025,96,37,0,Not Started
535,Training,Medium,20-01-2024,29-01-2024,96,25,0,On Hold
536,Training,Medium,14-02-2025,04-03-2025,96,23,3,Completed
537,Recruitment,Medium,23-06-2024,11-07-2024,97,18,40,In Progress
538,Documentation,Easy,04-10-2024,27-10-2024,97,26,16,In Progress
539,Documentation,Easy,31-07-2023,15-08-2023,97,37,0,On Hold
540,Recruitment,Medium,13-09-2023,09-10-2023,98,33,0,On Hold
541,Documentation,Easy,04-01-2023,12-01-2023,98,32,20,Completed
542,Recruitment,Medium,16-01-2023,03-02-2023,98,19,0,Not Started
543,Documentation,Easy,20-03-2025,28-03-2025,98,29,0,On Hold
544,Recruitment,Medium,12-03-2023,29-03-2023,98,20,0,On Hold
545,Documentation,Easy,23-04-2024,01-05-2024,98,26,0,On Hold
546,Administration,Easy,03-03-2024,10-03-2024,99,20,0,On Hold
547,Documentation,Easy,03-11-2023,10-11-2023,100,35,0,On Hold
548,Administration,Easy,03-11-2023,29-11-2023,100,40,17,In Progress
549,Documentation,Easy,09-05-2024,29-05-2024,100,15,29,In Progress
550,Administration,Easy,03-11-2023,10-11-2023,100,9,7,In Progress
551,Documentation,Easy,25-05-2024,23-06-2024,100,32,0,Not Started
552,Administration,Easy,03-11-2023,16-11-2023,100,20,29,In Progress
